Date,Ticker,Oracle_Score,Decision,Sector,Value_35,Quality_30,Momentum_15,Impact_15,Sentiment_5,F_Score,DCF_Value,DCF_Upside,Graham_Value,Graham_Upside,Pledge_Pct,Holding_Change,Promoter_Adj,Price,SMA_50,SMA_200,RSI,MACD_Hist,BB_Width,Mom_1M,Alpha_6M,Vol_Ratio,DOL,DFL,Arb_Spread,Arb_Action,NSE_Price,BSE_Price,Deriv_Action,Strike,Option_Price,Delta,Leverage,ROI_Speed,Implied_Vol,Sentiment,Sent_Label,News_Count,Macro_Mult,Pre_Macro
2026-02-20,BSE.NS,100.0,STRONG BUY,Financials,0.0,9.0,8.1,,1.7,3.0,835.82,-69.5,429.57,-84.3,0.0,0.0,0,2739.5,2769.96,2571.63,51.7,-33.29,0.211,1.1,15.4,0.62,1.0,1.0,,Buy NSE,2739.5,,Skipped (arbitrage took priority),,,,0.0,0.0,,0.168,Slightly Bullish,5,1.1,
2026-02-20,GVT&D.NS,100.0,STRONG BUY,Others,0.0,15.0,11.6,,1.5,5.0,645.31,-82.3,277.0,-92.4,0.0,0.0,0,3648.6,3133.92,2765.32,65.5,3.88,0.37,37.7,31.6,0.62,1.71,1.02,,Buy NSE,3648.6,,Skipped (arbitrage took priority),,,,0.0,0.0,,0.148,Slightly Bullish,3,1.1,
2026-02-20,GRAVITA.NS,100.0,STRONG BUY,Materials,0.0,12.0,7.5,,5.0,4.0,,,,,0.0,0.0,0,1585.9,1704.48,1740.93,43.2,-0.13,0.138,4.6,-10.6,0.54,3.01,1.32,,Buy NSE,1585.9,,Skipped (arbitrage took priority),,,,0.0,0.0,,0.71,Strongly Bullish,1,1.1,
2026-02-20,CDSL.NS,100.0,STRONG BUY,Financials,0.0,9.0,9.2,,0.0,3.0,,,,,0.0,0.0,0,1320.4,1409.19,1538.25,60.8,1.77,0.105,-2.7,-17.9,0.56,-2.71,0.66,,Buy NSE,1320.4,,Skipped (arbitrage took priority),,,,0.0,0.0,,0.0,Neutral,4,1.1,
2026-02-20,CANBK.NS,89.5,STRONG BUY,Financials,35.0,15.0,14.5,15.0,1.9,5.0,313.31,103.2,,,0.0,0.0,0,154.15,150.54,126.92,64.2,0.66,0.101,-0.3,36.7,1.22,1.0,1.0,0.032,None,154.15,154.2,BUY CALL,157.0,1.11,0.321,138.9,44.59,25.3,0.187,Slightly Bullish,10,1.1,81.3
2026-02-20,MAHABANK.NS,86.9,STRONG BUY,Financials,35.0,12.0,14.4,15.0,2.6,4.0,130.23,89.3,90.73,31.9,0.0,0.0,0,68.79,62.65,56.86,77.9,0.16,0.103,4.6,24.3,0.83,1.0,1.0,0.015,None,68.79,68.8,BUY CALL,70.0,0.58,0.3413,118.6,40.48,27.1,0.262,Strongly Bullish,8,1.1,79.0
2026-02-20,BPCL.NS,86.4,STRONG BUY,Energy,35.0,15.0,12.8,15.0,0.8,5.0,877.63,139.6,533.63,45.7,0.0,0.0,0,366.3,361.36,328.07,49.7,-1.59,0.154,6.3,18.1,0.94,19.19,1.19,0.123,None,366.3,365.85,BUY CALL,374.0,2.2,0.2888,166.5,48.09,24.4,0.08,Slightly Bullish,10,1.1,78.6
2026-02-20,GICRE.NS,83.0,STRONG BUY,Financials,35.0,9.0,11.5,15.0,5.0,3.0,849.11,123.0,837.0,119.8,0.0,0.0,0,380.8,375.43,378.55,59.1,-0.34,0.09,0.6,0.1,0.57,1.0,1.0,0.066,None,380.8,381.05,BUY CALL,388.0,1.91,0.2812,199.4,56.07,21.1,0.623,Strongly Bullish,4,1.1,75.5
2026-02-20,BANKBARODA.NS,82.6,STRONG BUY,Financials,35.0,9.0,13.1,15.0,3.0,3.0,582.35,88.4,518.64,67.8,0.0,0.0,0,309.05,296.36,263.43,85.6,1.98,0.113,1.2,24.9,1.49,1.0,1.0,0.032,None,309.05,308.95,BUY CALL,315.0,2.33,0.3216,132.6,42.64,26.5,0.297,Strongly Bullish,4,1.1,75.1
2026-02-20,BANKINDIA.NS,81.8,STRONG BUY,Financials,35.0,9.0,14.4,15.0,1.0,3.0,333.73,94.4,303.55,76.8,0.0,0.0,0,171.7,154.4,130.55,75.0,0.18,0.12,3.2,46.0,0.59,1.0,1.0,0.058,None,171.7,171.8,BUY CALL,175.0,2.0,0.3648,85.8,31.3,34.5,0.099,Slightly Bullish,10,1.1,74.4
